"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","20","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","0","0","29","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/Dataflow/DataflowVertexMaterial.DataflowVertexMaterial","0","0","26","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","67","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","11","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","14","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","26","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","45","1","0.000000","0","0"
"/Game/Meshes/Props/Cubo_falsificador/NewMaterial.NewMaterial","0","20","20","1","62.174332","0","20"
"/Game/HorrorEngine/Particles/Materials/m_flare_01.m_flare_01","0","14","14","1","12.357055","0","14"
"/Game/HorrorEngine/Materials/HE_PortalAdd2.HE_PortalAdd2","0","24","24","1","183.018021","0","24"
"/Game/HorrorEngine/Materials/HE_PortalAdd1.HE_PortalAdd1","0","24","24","1","160.832291","0","24"
"/Game/HorrorEngine/Materials/HE_Portal.HE_Portal","0","42","44","1","41.790691","0","44"
"/Game/HorrorEngine/Materials/HE_PistolBullet.HE_PistolBullet","0","23","23","1","38.706123","0","23"
"/Game/HorrorEngine/Materials/HE_Light.HE_Light","0","23","23","1","41.986145","0","23"
"/Game/Meshes/Pasillo/Metal.Metal","0","14","14","1","26.355413","0","14"
"/Game/texturas_duran/NewMaterial.NewMaterial","0","14","14","1","20.862011","0","14"
"/Game/HorrorEngine/Materials/HE_EmissiveText.HE_EmissiveText","0","29","31","1","28.869345","0","31"
"/Game/texturas_duran/Ojos/Ojo5.Ojo5","0","14","14","1","12.800945","0","14"
"/Game/texturas_duran/Ojos/Ojo4.Ojo4","0","14","14","1","0.000000","0","14"
"/Game/texturas_duran/Ojos/Ojo3.Ojo3","0","14","14","1","0.000000","0","14"
"/Game/texturas_duran/Ojos/Ojo2.Ojo2","0","14","14","1","0.000000","0","14"
"/Game/texturas_duran/Ojos/Ojo1.Ojo1","0","14","14","1","0.000000","0","14"
"/Game/texturas_duran/pared1.pared1","0","14","14","1","13.333879","0","14"
"/Game/texturas_duran/pared.pared","0","14","14","1","11.671469","0","14"
"/Game/Meshes/Props/Sofas/Sofa.Sofa","0","14","14","1","13.652946","0","14"
"/Game/Meshes/Props/Sofas/Chelon.Chelon","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Props/Payaso/Clown_Material.Clown_Material","0","26","0","1","0.000000","0","0"
"/Game/Meshes/Props/Mesita/Mesita.Mesita","0","14","14","1","13.138857","0","14"
"/Game/Meshes/Props/Libreria/Libros.Libros","0","14","14","1","11.414681","0","14"
"/Game/Meshes/Props/Libreria/Libreria.Libreria","0","14","14","1","11.538944","0","14"
"/Game/Meshes/Props/Globo/Globo_text.Globo_text","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Wood_floor_tile.Wood_floor_tile","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Glass.Glass","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Ladrillos.Ladrillos","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Pared_Int.Pared_Int","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/ORO.ORO","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Techo.Techo","0","14","0","1","0.000000","0","0"
"/Game/Meshes/Pasillo/Madera.Madera","0","14","0","1","0.000000","0","0"
